id,words,auto_outlook,auto_evidence,auto_reliability,text_source
avigad,512,67,85,77,cache
bessis,10797,48,54,75,cache
carroll,12660,41,74,83,cache
cepelewicz,3894,47,56,83,cache
economist,587,75,79,79,cache
gowers,1020,47,43,75,cache
hossenfelder,601,47,53,85,cache
jaimungal,19121,57,66,77,cache
keating,1190,67,61,70,cache
lanier,1783,72,55,80,cache
lecun,759,72,73,87,cache
leiden,4083,36,64,78,cache
marcus,34638,43,59,79,cache
riehl,417,69,46,57,cache
snakeoil,140,47,46,57,cache
stephenwolfram,1055,74,84,83,cache
strogatz,6503,47,69,86,cache
su,1763,59,50,79,cache
tao,547,66,83,81,cache
tsimerman,2584,52,38,70,cache
weinreich,483,67,86,77,cache
williamson,754,47,46,57,cache
wolfram,4736,54,58,76,cache
yahoo,63,47,80,74,cache
